CIDADE,UF,REGIAO
Santa Luzia,MA,Nordeste
Santa Luzia do Paruá,MA,Nordeste
Santa Quitéria do Maranhão,MA,Nordeste
Santa Rita,MA,Nordeste
Santana do Maranhão,MA,Nordeste
Santo Amaro do Maranhão,MA,Nordeste
Santo Antônio dos Lopes,MA,Nordeste
São Benedito do Rio Preto,MA,Nordeste
São Bento,MA,Nordeste
São Bernardo,MA,Nordeste
São Domingos do Azeitão,MA,Nordeste
São Domingos do Maranhão,MA,Nordeste
São Félix de Balsas,MA,Nordeste
São Francisco do Brejão,MA,Nordeste
São Francisco do Maranhão,MA,Nordeste
São João Batista,MA,Nordeste
São João do Carú,MA,Nordeste
São João do Paraíso,MA,Nordeste
São João do Soter,MA,Nordeste
São João dos Patos,MA,Nordeste
São José de Ribamar,MA,Nordeste
São José dos Basílios,MA,Nordeste
São Luís,MA,Nordeste
São Luís Gonzaga do Maranhão,MA,Nordeste
São Mateus do Maranhão,MA,Nordeste
São Pedro da Água Branca,MA,Nordeste
São Pedro dos Crentes,MA,Nordeste
São Raimundo das Mangabeiras,MA,Nordeste
São Raimundo do Doca Bezerra,MA,Nordeste
São Roberto,MA,Nordeste
São Vicente Ferrer,MA,Nordeste
Satubinha,MA,Nordeste
Senador Alexandre Costa,MA,Nordeste
Senador La Rocque,MA,Nordeste
Serrano do Maranhão,MA,Nordeste
Sítio Novo,MA,Nordeste
Sucupira do Norte,MA,Nordeste
Sucupira do Riachão,MA,Nordeste
Tasso Fragoso,MA,Nordeste
Timbiras,MA,Nordeste
Timon,MA,Nordeste
Trizidela do Vale,MA,Nordeste
Tufilândia,MA,Nordeste
Tuntum,MA,Nordeste
Turiaçu,MA,Nordeste
Turilândia,MA,Nordeste
Tutóia,MA,Nordeste
Urbano Santos,MA,Nordeste
Vargem Grande,MA,Nordeste
Viana,MA,Nordeste
Vila Nova dos Martírios,MA,Nordeste
Vitória do Mearim,MA,Nordeste
Vitorino Freire,MA,Nordeste
Zé Doca,MA,Nordeste
Acauã,PI,Nordeste
Agricolândia,PI,Nordeste
Água Branca,PI,Nordeste
Alagoinha do Piauí,PI,Nordeste
Alegrete do Piauí,PI,Nordeste
Alto Longá,PI,Nordeste
Altos,PI,Nordeste
Alvorada do Gurguéia,PI,Nordeste
Amarante,PI,Nordeste
Angical do Piauí,PI,Nordeste
Anísio de Abreu,PI,Nordeste
Antônio Almeida,PI,Nordeste
Aroazes,PI,Nordeste
Aroeiras do Itaim,PI,Nordeste
Arraial,PI,Nordeste
Assunção do Piauí,PI,Nordeste
Avelino Lopes,PI,Nordeste
Baixa Grande do Ribeiro,PI,Nordeste
Barra D'Alcântara,PI,Nordeste
Barras,PI,Nordeste
Barreiras do Piauí,PI,Nordeste
Barro Duro,PI,Nordeste
Batalha,PI,Nordeste
Bela Vista do Piauí,PI,Nordeste
Belém do Piauí,PI,Nordeste
Beneditinos,PI,Nordeste
Bertolínia,PI,Nordeste
Betânia do Piauí,PI,Nordeste
Boa Hora,PI,Nordeste
Bocaina,PI,Nordeste
Bom Jesus,PI,Nordeste
Bom Princípio do Piauí,PI,Nordeste
Bonfim do Piauí,PI,Nordeste
Boqueirão do Piauí,PI,Nordeste
Brasileira,PI,Nordeste
Brejo do Piauí,PI,Nordeste
Buriti dos Lopes,PI,Nordeste
Buriti dos Montes,PI,Nordeste
Cabeceiras do Piauí,PI,Nordeste
Cajazeiras do Piauí,PI,Nordeste
Cajueiro da Praia,PI,Nordeste
Caldeirão Grande do Piauí,PI,Nordeste
Campinas do Piauí,PI,Nordeste
Campo Alegre do Fidalgo,PI,Nordeste
Campo Grande do Piauí,PI,Nordeste
Campo Largo do Piauí,PI,Nordeste
Campo Maior,PI,Nordeste
Canavieira,PI,Nordeste
Canto do Buriti,PI,Nordeste
Capitão de Campos,PI,Nordeste
Capitão Gervásio Oliveira,PI,Nordeste
Caracol,PI,Nordeste
Caraúbas do Piauí,PI,Nordeste
Caridade do Piauí,PI,Nordeste
Castelo do Piauí,PI,Nordeste
Caxingó,PI,Nordeste
Cocal,PI,Nordeste
Cocal de Telha,PI,Nordeste
Cocal dos Alves,PI,Nordeste
Coivaras,PI,Nordeste
Colônia do Gurguéia,PI,Nordeste
Colônia do Piauí,PI,Nordeste
Conceição do Canindé,PI,Nordeste
Coronel José Dias,PI,Nordeste
Corrente,PI,Nordeste
Cristalândia do Piauí,PI,Nordeste
Cristino Castro,PI,Nordeste
Curimatá,PI,Nordeste
Currais,PI,Nordeste
Curral Novo do Piauí,PI,Nordeste
Curralinhos,PI,Nordeste
Demerval Lobão,PI,Nordeste
Dirceu Arcoverde,PI,Nordeste
Dom Expedito Lopes,PI,Nordeste
Dom Inocêncio,PI,Nordeste
Domingos Mourão,PI,Nordeste
Elesbão Veloso,PI,Nordeste
Eliseu Martins,PI,Nordeste
Esperantina,PI,Nordeste
Fartura do Piauí,PI,Nordeste
Flores do Piauí,PI,Nordeste
Floresta do Piauí,PI,Nordeste
Floriano,PI,Nordeste
Francinópolis,PI,Nordeste
Francisco Ayres,PI,Nordeste
Francisco Macedo,PI,Nordeste
Francisco Santos,PI,Nordeste
Fronteiras,PI,Nordeste
Geminiano,PI,Nordeste
Gilbués,PI,Nordeste
Guadalupe,PI,Nordeste
Guaribas,PI,Nordeste
Hugo Napoleão,PI,Nordeste
Ilha Grande,PI,Nordeste
Inhuma,PI,Nordeste
Ipiranga do Piauí,PI,Nordeste
Isaías Coelho,PI,Nordeste
Itainópolis,PI,Nordeste
Itaueira,PI,Nordeste
Jacobina do Piauí,PI,Nordeste
Jaicós,PI,Nordeste
Jardim do Mulato,PI,Nordeste
Jatobá do Piauí,PI,Nordeste
Jerumenha,PI,Nordeste
João Costa,PI,Nordeste
Joaquim Pires,PI,Nordeste
Joca Marques,PI,Nordeste
José de Freitas,PI,Nordeste
Juazeiro do Piauí,PI,Nordeste
Júlio Borges,PI,Nordeste
Jurema,PI,Nordeste
Lagoa Alegre,PI,Nordeste
Lagoa de São Francisco,PI,Nordeste
Lagoa do Barro do Piauí,PI,Nordeste
Lagoa do Piauí,PI,Nordeste
Lagoa do Sítio,PI,Nordeste
Lagoinha do Piauí,PI,Nordeste
Landri Sales,PI,Nordeste
Luís Correia,PI,Nordeste
Luzilândia,PI,Nordeste
Madeiro,PI,Nordeste
Manoel Emídio,PI,Nordeste
Marcolândia,PI,Nordeste
Marcos Parente,PI,Nordeste
Massapê do Piauí,PI,Nordeste
Matias Olímpio,PI,Nordeste
Miguel Alves,PI,Nordeste
Miguel Leão,PI,Nordeste
Milton Brandão,PI,Nordeste
Monsenhor Gil,PI,Nordeste
Monsenhor Hipólito,PI,Nordeste
Monte Alegre do Piauí,PI,Nordeste
Morro Cabeça no Tempo,PI,Nordeste
Morro do Chapéu do Piauí,PI,Nordeste
Murici dos Portelas,PI,Nordeste
Nazaré do Piauí,PI,Nordeste
Nazária,PI,Nordeste
Nossa Senhora de Nazaré,PI,Nordeste
Nossa Senhora dos Remédios,PI,Nordeste
Nova Santa Rita,PI,Nordeste
Novo Oriente do Piauí,PI,Nordeste
Novo Santo Antônio,PI,Nordeste
Oeiras,PI,Nordeste
Olho D'Água do Piauí,PI,Nordeste
Padre Marcos,PI,Nordeste
Paes Landim,PI,Nordeste
Pajeú do Piauí,PI,Nordeste
Palmeira do Piauí,PI,Nordeste
Palmeirais,PI,Nordeste
Paquetá,PI,Nordeste
Parnaguá,PI,Nordeste
Parnaíba,PI,Nordeste
Passagem Franca do Piauí,PI,Nordeste
Patos do Piauí,PI,Nordeste
Pau D'Arco do Piauí,PI,Nordeste
Paulistana,PI,Nordeste
Pavussu,PI,Nordeste
Pedro II,PI,Nordeste
Pedro Laurentino,PI,Nordeste
Picos,PI,Nordeste
Pimenteiras,PI,Nordeste
Pio IX,PI,Nordeste
Piracuruca,PI,Nordeste
Piripiri,PI,Nordeste
Porto,PI,Nordeste
Porto Alegre do Piauí,PI,Nordeste
Prata do Piauí,PI,Nordeste
Queimada Nova,PI,Nordeste
Redenção do Gurguéia,PI,Nordeste
Regeneração,PI,Nordeste
Riacho Frio,PI,Nordeste
Ribeira do Piauí,PI,Nordeste
Ribeiro Gonçalves,PI,Nordeste
Rio Grande do Piauí,PI,Nordeste
Santa Cruz do Piauí,PI,Nordeste
Santa Cruz dos Milagres,PI,Nordeste
Santa Filomena,PI,Nordeste
Santa Luz,PI,Nordeste
Santa Rosa do Piauí,PI,Nordeste
Santana do Piauí,PI,Nordeste
Santo Antônio de Lisboa,PI,Nordeste
Santo Antônio dos Milagres,PI,Nordeste
Santo Inácio do Piauí,PI,Nordeste
São Braz do Piauí,PI,Nordeste
São Félix do Piauí,PI,Nordeste
